M,dsigmadM,Data errors,Full errors
1.3025,0,0,0
1.3075,0,0,0
1.3125,0,0,0
1.3175,0,0,0
1.3225,0,0,0
1.3275,0,0,0
1.3325,0.403,0.091,0.144
1.3375,0.376,0.073,0.073
1.3425,0.717,0.126,0.232
1.3475,0.899,0.136,0.137
1.3525,0.976,0.121,0.189
1.3575,0.975,0.128,0.134
1.3625,1.189,0.159,0.161
1.3675,1.338,0.174,0.186
1.3725,1.134,0.141,0.224
1.3775,1.039,0.134,0.218
1.3825,1.556,0.201,0.501
1.3875,1.554,0.204,0.212
1.3925,2.299,0.274,0.757
1.3975,1.798,0.218,0.391
1.4025,1.613,0.216,0.384
1.4075,1.919,0.233,0.739
1.4125,1.959,0.257,0.667
1.4175,1.308,0.208,0.722
1.4225,0.753,0.153,0.502
1.4275,0.663,0.149,0.405
1.4325,0.429,0.124,0.248
1.4375,0.424,0.123,0.243
1.4425,0.195,0.085,0.144
1.4475,0.292,0.112,0.252
1.4525,0.106,0.064,0.114
1.4575,0,0,0
1.4625,0.037,0.038,0.05
1.4675,0,0,0
1.4725,0.11,0.067,0.109
1.4775,0,0,0
1.4825,0,0,0
1.4875,0.027,0.028,0.034
1.4925,0,0,0
1.4975,0,0,0
1.5025,0,0,0
1.5075,0,0,0
1.5125,0,0,0
1.5175,0,0,0
1.5225,0,0,0
1.5275,0,0,0
1.5325,0,0,0
1.5375,0,0,0
1.5425,0,0,0
1.5475,0,0,0
1.5525,0,0,0
1.5575,0,0,0
1.5625,0,0,0
1.5675,0,0,0
1.5725,0,0,0
1.5775,0,0,0
1.5825,0,0,0
1.5875,0,0,0
1.5925,0,0,0
1.5975,0,0,0
