M,dsigmadM,Data errors,Full errors
1.3025,0,0,0
1.3075,0,0,0
1.3125,0,0,0
1.3175,0,0,0
1.3225,0,0,0
1.3275,0,0,0
1.3325,0,0,0
1.3375,0,0,0
1.3425,0.17,0.043,0.052
1.3475,0.376,0.045,0.046
1.3525,0.5,0.044,0.052
1.3575,0.632,0.046,0.05
1.3625,0.755,0.05,0.05
1.3675,0.792,0.049,0.053
1.3725,0.908,0.052,0.052
1.3775,0.97,0.055,0.057
1.3825,1.045,0.058,0.061
1.3875,1.062,0.057,0.06
1.3925,1.078,0.056,0.062
1.3975,1.117,0.053,0.082
1.4025,1.172,0.054,0.097
1.4075,1.255,0.056,0.108
1.4125,1.204,0.054,0.101
1.4175,1.094,0.055,0.082
1.4225,0.863,0.046,0.085
1.4275,0.765,0.051,0.072
1.4325,0.447,0.037,0.038
1.4375,0.25,0.029,0.029
1.4425,0.202,0.028,0.037
1.4475,0.157,0.027,0.032
1.4525,0.085,0.019,0.02
1.4575,0.107,0.024,0.026
1.4625,0.055,0.015,0.017
1.4675,0.06,0.02,0.021
1.4725,0.031,0.013,0.013
1.4775,0.039,0.015,0.015
1.4825,0.038,0.013,0.014
1.4875,0.048,0.014,0.022
1.4925,0.032,0.016,0.018
1.4975,0.035,0.016,0.019
1.5025,0.034,0.017,0.018
1.5075,0.061,0.022,0.026
1.5125,0.054,0.027,0.027
1.5175,0.014,0.017,0.017
1.5225,0.049,0.025,0.025
1.5275,0.035,0.026,0.027
1.5325,0.013,0.011,0.011
1.5375,0.001,0.004,0.008
1.5425,0.014,0.02,0.025
1.5475,0.018,0.022,0.024
1.5525,0,0,0
1.5575,0,0,0
1.5625,0,0,0
1.5675,0,0,0
1.5725,0,0,0
1.5775,0,0,0
1.5825,0,0,0
1.5875,0,0,0
1.5925,0,0,0
1.5975,0,0,0
