M,dsigmadM,Data errors,Full errors
1.3025,0,0,0
1.3075,0,0,0
1.3125,0,0,0
1.3175,0,0,0
1.3225,0,0,0
1.3275,0,0,0
1.3325,0,0,0
1.3375,0,0,0
1.3425,0,0,0
1.3475,0,0,0
1.3525,0,0,0
1.3575,0,0,0
1.3625,0.352,0.104,0.162
1.3675,0.687,0.11,0.128
1.3725,0.734,0.11,0.123
1.3775,1.075,0.111,0.133
1.3825,1.166,0.106,0.14
1.3875,1.34,0.087,0.12
1.3925,1.245,0.079,0.122
1.3975,1.659,0.08,0.101
1.4025,1.912,0.083,0.088
1.4075,1.778,0.071,0.087
1.4125,1.935,0.072,0.098
1.4175,1.974,0.07,0.17
1.4225,1.702,0.063,0.158
1.4275,1.271,0.053,0.124
1.4325,0.931,0.044,0.088
1.4375,0.656,0.038,0.05
1.4425,0.456,0.032,0.042
1.4475,0.334,0.029,0.039
1.4525,0.323,0.028,0.041
1.4575,0.29,0.029,0.039
1.4625,0.322,0.032,0.076
1.4675,0.243,0.024,0.065
1.4725,0.215,0.023,0.063
1.4775,0.183,0.022,0.063
1.4825,0.149,0.02,0.046
1.4875,0.135,0.019,0.056
1.4925,0.127,0.019,0.048
1.4975,0.114,0.018,0.043
1.5025,0.097,0.019,0.035
1.5075,0.077,0.02,0.025
1.5125,0.07,0.023,0.028
1.5175,0.038,0.023,0.024
1.5225,0.101,0.031,0.037
1.5275,0.018,0.013,0.014
1.5325,0.031,0.016,0.016
1.5375,0.018,0.011,0.012
1.5425,0.01,0.009,0.01
1.5475,0,0,0
1.5525,0,0,0
1.5575,0,0,0
1.5625,0,0,0
1.5675,0,0,0
1.5725,0,0,0
1.5775,0,0,0
1.5825,0,0,0
1.5875,0,0,0
1.5925,0,0,0
1.5975,0,0,0
